user,text,latitude,longitude
TrendsNederland,#theisland is nu trending in Netherlands https://t.co/MxE9jII4QV,52.3738,4.89093
kartenquizde,Wo liegt Amsterdam? https://t.co/RqCSp3JI8C #Amsterdam #quiz,52.3738,4.89093
nafiesa,Dit moet je echt een keer doen! Aanrader!!! #EscapeRoom (at @SherlockedNl in Amsterdam) https://t.co/CtGdjoK1g5,52.37539607,4.89708927
emilyhinks,"What a week! And what a talented bunch, I have the coolest job ever #BssaCrew1 #DamFam? https://t.co/frwbOWcv4S",52.3731,4.8922
ZeyneepAydin,I'm at The Alley Amsterdam w/ @cansin_m @gulsahkarr https://t.co/uSueYGLiGe,52.37596732,4.89670823
fairybeki,"Very Hoppy, slightly sweet maltiness  full bodied traditional  ipa... (Festeroo) https://t.co/VWSXwFxJRf #photo",52.3719,4.89046
p2000amsterdam,A1 13106 Rit 8528 Amsterdam Kloveniersburgwal 4 A Green Place https://t.co/JfnO77oTfn #p2000,52.3717013,4.8996819
TrendsAmsterdam,'rika' is nu trending in #Amsterdam https://t.co/ATkPHcEVQA,52.3738,4.89093
sharonLfox1,"I'm at Il Primo Ristorante in Amsterdam, Noord-Holland https://t.co/bCBaDnQgfw",52.36684085,4.88941797
sharonLfox1,"#italian #food (@ Saturnino in Amsterdam, Netherlands) https://t.co/uEz0cl8V8Q",52.36679567,4.88933574
TrendsNederland,"Eelco Eerenberg, @eelcoeerenberg is nu trending in Netherlands https://t.co/MxE9jII4QV",52.3738,4.89093
p2000amsterdam,A1 13107 Rit 8527 Amsterdam Kloveniersburgwal 77 A th https://t.co/vM8VNP4HzN #p2000,52.3717013,4.8996819
